Date/Time,Surface_10,Sub_Surface_2,Surface_11,Surface_13,Surface_14,Surface_2,Surface_20,Surface_22,Surface_5,Sub_Surface_1,Surface_1,Surface_15,Surface_21,Surface_9,Surface_12,Surface_18,Surface_24,Surface_6
 08/05  15:00:00,37.50142124,31.18662919,44.3273812,47.9168131,34.01966686,47.76860226,34.01966686,37.73163108,43.91652931,42.24100842,22.375,22.375,22.375,22.375,60.72614271,60.74545715,60.72640901,60.74508487
 08/05  16:00:00,37.11460505,31.41136166,41.60151446,51.72659864,34.14239527,51.58828242,34.14239527,37.31552448,41.20733548,40.98671711,22.375,22.375,22.375,22.375,56.03150411,56.04344582,56.03169594,56.04317765
 08/05  17:00:00,36.20639811,31.41942011,37.66788622,44.50736314,33.99777411,44.25091022,33.99777411,36.37877455,37.46358716,36.33021284,22.375,22.375,22.375,22.375,48.46258955,47.71362175,48.46271544,47.58345053
 08/05  18:00:00,33.55109364,28.84422851,33.59662348,36.14861869,31.66516959,35.08841448,31.66516959,33.68994095,33.48758001,30.38567695,22.375,22.375,22.375,22.375,37.75891033,37.45768932,38.0257821,37.05187443
 08/05  19:00:00,30.68244137,25.71519938,30.43590289,35.56602604,30.1030408,31.27507958,30.10304079,30.7938916,30.35365073,26.05225774,22.375,22.375,22.375,22.375,32.20637155,32.54291576,32.71145202,31.86094044
 08/05  20:00:00,28.62664101,23.8709626,28.22967844,30.43387918,27.0216951,28.73220101,27.0216951,28.72122042,28.15912802,22.92859312,22.375,22.375,22.375,22.375,28.47090349,28.51912407,28.60421567,28.32115076
 08/05  21:00:00,27.98189638,23.8709198,27.51283218,28.68996196,25.97151982,27.75659556,25.97151982,28.07105117,27.44714954,22.76550317,22.375,22.375,22.375,22.375,26.79346402,26.82781569,26.8822449,26.69701543
 08/05  22:00:00,27.70804509,24.07268235,27.18411868,27.92919118,25.62161799,27.29437698,25.62161799,27.79148173,27.12388666,23.23483011,22.375,22.375,22.375,22.375,25.62703614,25.66330454,25.69310823,25.56605462
 08/05  23:00:00,27.10063714,23.92742739,26.47460527,26.92999661,25.20134706,26.50977473,25.20134705,27.17126555,26.42617605,23.37730137,22.375,22.375,22.375,22.375,24.39076251,24.4240608,24.43153502,24.36408459
 08/05  24:00:00,26.17500873,23.34437093,25.60024213,25.9001808,24.62627223,25.61074481,24.62627223,26.22938344,25.5625504,22.89067194,22.375,22.375,22.375,22.375,23.20344155,23.23505229,23.22768646,23.19939172
 08/06  01:00:00,25.58381434,22.90519579,24.95683271,25.19038336,24.11964207,24.96071269,24.11964207,25.63049691,24.92456388,22.41594872,22.375,22.375,22.375,22.375,22.31952593,22.35211489,22.33601752,22.32785514
 08/06  02:00:00,25.20462487,22.37157666,24.51752072,24.73144227,23.69582149,24.52342676,23.69582149,25.24770053,24.48714496,21.82381447,22.375,22.375,22.375,22.375,21.45935041,21.495828,21.47172015,21.47763267
 08/06  03:00:00,24.83278569,21.93631429,24.16677687,24.38113173,23.30385241,24.17825051,23.30385241,24.87287347,24.136711,21.27053522,22.375,22.375,22.375,22.375,20.63327757,20.67473271,20.64299268,20.66044305
 08/06  04:00:00,24.57988262,21.49501425,23.95876135,24.17364728,23.02144608,23.96809932,23.02144608,24.62001652,23.92761787,20.75928382,22.375,22.375,22.375,22.375,19.97450401,20.01934177,19.9823553,20.00779416
 08/06  05:00:00,24.38798837,21.19922565,23.82209252,24.03306355,22.79618011,23.82120064,22.79618011,24.43068992,23.78895686,20.35121679,22.375,22.375,22.375,22.375,19.47281495,19.5189443,19.47928151,19.5094337
 08/06  06:00:00,25.24292992,21.80641337,23.91270454,24.09533059,23.0790702,23.88470966,23.0790702,25.30705528,23.87779055,20.76568511,22.375,22.375,22.375,22.375,19.65677812,19.69881978,19.66181913,19.69140603
 08/06  07:00:00,32.19210526,25.73328567,25.43110025,25.41743261,25.44507925,25.21619512,25.44507925,32.44219687,25.38620926,24.47733343,22.375,22.375,22.375,22.375,24.22707297,24.23462196,24.23063423,24.22899826
 08/06  08:00:00,38.94048009,28.30354872,27.65563648,27.18719781,26.92770565,26.99958989,26.92770565,39.35146429,27.58303245,28.72698457,22.375,22.375,22.375,22.375,30.62213008,30.61086874,30.62470565,30.60700666
 08/06  09:00:00,46.06878569,30.10933551,31.82885421,28.87384133,28.4587362,28.69519957,28.4587362,46.63419074,31.55778405,35.18169592,22.375,22.375,22.375,22.375,39.18125036,39.18402659,39.18309394,39.18127326
 08/06  10:00:00,47.98085882,29.05588604,36.74028198,30.59276363,30.22759002,30.41975095,30.22759002,48.58754328,36.32264057,39.01347955,22.375,22.375,22.375,22.375,46.86244763,46.86288337,46.86377887,46.86089635
 08/06  11:00:00,45.08653917,28.82290215,40.11868728,32.4608651,32.2537473,32.29000211,32.25374731,45.85668163,39.75949894,39.89828891,22.375,22.375,22.375,22.375,50.94935927,50.92143883,50.95034873,50.91996184
 08/06  12:00:00,41.83003946,29.92597685,44.57933177,33.47551763,33.16754336,33.30564243,33.16754336,43.0570742,44.31578459,39.72161597,22.375,22.375,22.375,22.375,58.68567433,58.6874009,58.68640153,58.68631548
 08/06  13:00:00,38.93369377,30.82580739,46.87416725,36.22095497,33.74529777,36.05884237,33.74529777,39.43670468,46.67067901,39.72757769,22.375,22.375,22.375,22.375,62.23838601,62.24935011,62.23890492,62.24857563
 08/06  14:00:00,30.69092749,24.95420174,36.36151378,32.56440887,28.16497126,32.46299428,28.16497126,30.91961055,36.16189076,31.91129303,22.375,22.375,22.375,22.375,45.57735119,45.57672801,45.57760782,45.57634497
 08/06  15:00:00,17.61938023,17.32277301,17.67038677,17.61908736,17.54547,17.61537696,17.54547,17.62614989,17.66613016,17.38245018,22.375,22.375,22.375,22.375,17.74190609,17.74079677,17.74191251,17.74078719
 08/06  16:00:00,19.16134649,19.37331501,19.12610142,18.89323413,18.73271199,18.86867913,18.73271199,19.19441524,19.11171524,19.07384695,22.375,22.375,22.375,22.375,19.94112995,19.93531312,19.94116749,19.93525709
 08/06  17:00:00,24.38495858,22.89947653,24.10363627,23.315404,22.71445323,23.21710649,22.71445323,24.50181077,24.05231246,23.29226984,22.375,22.375,22.375,22.375,25.65564405,25.64402565,25.65575534,25.64385952
 08/06  18:00:00,24.92490747,22.2099008,24.52943958,24.13546123,23.23274545,23.66428694,23.23274545,25.03688833,24.47860707,22.20019438,22.375,22.375,22.375,22.375,24.26954317,24.3987211,24.43547435,24.26947906
 08/06  19:00:00,25.10330966,22.02088217,24.64221513,28.10218255,24.69784421,23.8755839,24.69784421,25.21218103,24.59234588,22.00616197,22.375,22.375,22.375,22.375,23.38138097,23.87668341,23.93791925,23.26061853
 08/06  20:00:00,24.52087349,21.11126762,24.02228452,25.16320723,23.22692994,23.32293722,23.22692994,24.61655612,23.97549162,20.03408234,22.375,22.375,22.375,22.375,21.68439022,21.84715037,21.84721915,21.66186807
